type	timestamp	epoch	step	train_accuracy	predict_labels	actual_labels
train	20200410131427	3	4	0.90625	[1 1 2 2 2 0 0 2]	[1 1 2 2 2 0 1 2]
train	20200410131441	3	5	0.925	[0 2 2 0 0 1 0 2]	[0 2 2 0 0 1 0 2]
train	20200410131500	3	6	0.9375	[2 1 0 0 0 2 2 2]	[2 1 0 0 0 2 2 2]
train	20200410131514	3	7	0.9285714	[2 1 2 0 2 0 0 2]	[2 0 2 0 2 0 0 2]
train	20200410131524	3	8	0.9375	[0 2 2 2 1 2 2 2]	[0 2 2 2 1 2 2 2]
train	20200410131535	3	9	0.9444444	[2 2 1 0 0 2 1 1]	[2 2 1 0 0 2 1 1]
train	20200410131545	3	10	0.9375	[2 1 2 2 2 0 2 2]	[2 0 2 2 2 0 2 2]
train	20200410131604	3	11	0.9431818	[0 2 2 2 0 2 1 1]	[0 2 2 2 0 2 1 1]
train	20200410131624	3	12	0.9166667	[1 1 2 0 1 2 2 0]	[0 0 2 0 0 2 2 0]
train	20200410131635	3	13	0.9230769	[2 2 1 2 1 2 2 2]	[2 2 1 2 1 2 2 2]
train	20200410131645	3	14	0.9285714	[1 1 0 1 1 1 2 1]	[1 1 0 1 1 1 2 1]
train	20200410131656	3	15	0.93333334	[0 2 2 2 0 2 2 1]	[0 2 2 2 0 2 2 1]
train	20200410131706	3	16	0.9375	[1 2 2 0 2 0 2 2]	[1 2 2 0 2 0 2 2]
train	20200410131717	3	17	0.9338235	[0 0 2 0 2 2 2 2]	[0 0 2 0 2 1 2 2]
train	20200410131727	3	18	0.9375	[2 0 2 2 0 0 2 0]	[2 0 2 2 0 0 2 0]
train	20200410131738	3	19	0.94078946	[2 1 1 0 2 0 2 2]	[2 1 1 0 2 0 2 2]
train	20200410131748	3	20	0.9375	[1 2 0 2 0 0 2 2]	[1 2 0 2 0 1 2 2]
train	20200410131758	3	21	0.9404762	[0 2 0 2 2 2 2 2]	[0 2 0 2 2 2 2 2]
train	20200410131809	3	22	0.9431818	[2 2 0 0 1 2 0 0]	[2 2 0 0 1 2 0 0]
train	20200410131819	3	23	0.9347826	[2 0 1 0 0 2 2 0]	[2 1 1 0 0 2 2 1]
train	20200410131829	3	24	0.921875	[0 1 0 1 2 0 1 1]	[1 1 1 1 2 1 1 1]
train	20200410131840	3	25	0.925	[2 1 0 1 0 1 1 0]	[2 1 0 1 0 1 1 0]
train	20200410131850	3	26	0.92788464	[2 2 0 2 0 0 2 2]	[2 2 0 2 0 0 2 2]
train	20200410131902	3	27	0.9305556	[1 0 2 0 1 0 2 1]	[1 0 2 0 1 0 2 1]
train	20200410131914	3	28	0.93303573	[0 0 0 1 1 0 1 2]	[0 0 0 1 1 0 1 2]
train	20200410131925	3	29	0.9310345	[1 1 1 1 0 2 0 0]	[1 0 1 1 0 2 0 0]
train	20200410131936	3	30	0.93333334	[1 0 2 1 1 2 2 0]	[1 0 2 1 1 2 2 0]
train	20200410131947	3	31	0.9354839	[2 1 2 2 2 2 0 1]	[2 1 2 2 2 2 0 1]
train	20200410131958	3	32	0.9375	[1 1 1 1 1 2 2 0]	[1 1 1 1 1 2 2 0]
train	20200410132009	3	33	0.93939394	[2 1 1 2 2 1 1 0]	[2 1 1 2 2 1 1 0]
train	20200410132020	3	34	0.9411765	[2 1 2 0 2 1 2 0]	[2 1 2 0 2 1 2 0]
train	20200410132030	3	35	0.94285715	[1 0 1 2 2 0 2 2]	[1 0 1 2 2 0 2 2]
train	20200410132040	3	36	0.9444444	[2 1 2 1 0 2 2 2]	[2 1 2 1 0 2 2 2]
train	20200410132051	3	37	0.9425676	[2 2 2 1 2 2 1 2]	[2 2 2 2 2 2 1 2]
train	20200410132101	3	38	0.9440789	[2 2 2 1 1 0 1 2]	[2 2 2 1 1 0 1 2]
train	20200410132111	3	39	0.94551283	[2 0 2 0 2 1 2 2]	[2 0 2 0 2 1 2 2]
train	20200410132122	3	40	0.946875	[2 1 1 1 2 0 2 0]	[2 1 1 1 2 0 2 0]
train	20200410132132	3	41	0.9481707	[1 1 0 0 2 0 2 1]	[1 1 0 0 2 0 2 1]
